id,column_name,brand,model,size,set
kb0710,kilter_board_7x10_home,Kilter,Home,7x10,
kb0812,kilter_board_8x12,Kilter,,8x12,
kb1212,kilter_board_12x12,Kilter,,12x12,
kb1612,kilter_board_16x12,Kilter,,16x12,
t10810f,tension_board_tension_1_8x10_full_set,Tension,1,8x10,Full
t10810a,tension_board_tension_1_8x10_set_a,Tension,1,8x10,A
t10810b,tension_board_tension_1_8x10_set_b,Tension,1,8x10,B
t10810c,tension_board_tension_1_8x10_set_c,Tension,1,8x10,C
t10812f,tension_board_tension_1_8x12_full_set,Tension,1,8x12,Full
t10812a,tension_board_tension_1_8x12_set_a,Tension,1,8x12,A
t10812b,tension_board_tension_1_8x12_set_b,Tension,1,8x12,B
t10812c,tension_board_tension_1_8x12_set_c,Tension,1,8x12,C
t20810s,tension_board_tension_2_8x10_spray,Tension,2,8x10,Spray
t21210s,tension_board_tension_2_12x10_spray,Tension,2,12x10,Spray
t20812s,tension_board_tension_2_8x12_spray,Tension,2,8x12,Spray
t21212s,tension_board_tension_2_12x12_spray,Tension,2,12x12,Spray
t20810m,tension_board_tension_2_8x10_mirror,Tension,2,8x10,Mirror
t21210m,tension_board_tension_2_12x10_mirror,Tension,2,12x10,Mirror
t20812m,tension_board_tension_2_8x12_mirror,Tension,2,8x12,Mirror
t21212m,tension_board_tension_2_12x12_mirror,Tension,2,12x12,Mirror
mb2016,moon_board_moon_board_2016,MoonBoard,,8x12,2016
mb2017,moon_board_moon_board_2017,MoonBoard,,8x12,2017
mb2019,moon_board_moon_board_2019,MoonBoard,,8x12,2019
mb2024,moon_board_moon_board_2024,MoonBoard,,8x12,2024
mb2020,moon_board_moon_board_mini_2020,MoonBoard,Mini,8x8,2020